Gene	Chr	Start	End	No.SNPs	SNP_start	SNP_end	TopSNP	TopSNP_Pvalue	No.Eigenvalues	Chisq_mBAT	P_mBATcombo	P_mBAT	Chisq_fastBAT	P_fastBAT
SYN3	22	32903807	33454367	1812	rs5998498	rs16991789	rs5749553	0.00224656	72	65.5885101350544	0.382404230179022	0.689704741077587	758.978	0.191905
TIMP3	22	33197691	33259028	510	rs34843069	rs137544	rs62234179	0.00253099	22	23.1527463104606	0.363570760794613	0.393147848546498	184.406	0.336303
ISX	22	35462129	35483380	454	rs5755514	rs9610221	rs145612154	0.00596189	17	28.061495379729	0.0612001593501463	0.0442247730263892	197.873	0.0986529
HMGXB4	22	35653445	35691800	302	rs8139877	rs4386	rs2092330	0.0150784	19	11.0804764216694	0.873874185778483	0.921101724698072	72.9258	0.720338
TOM1	22	35695268	35743985	364	rs78735666	rs116786363	rs138771	0.061016	20	12.2779097716464	0.932411963410163	0.90617842546225	65.6583	0.947287
HMOX1	22	35776354	35790207	282	rs117718592	rs28675383	rs28524801	0.0482475	24	14.5808328213507	0.914731828111147	0.932426434174216	77.1152	0.885025
MCM5	22	35796127	35821424	332	rs133403	rs28661233	rs28524801	0.0482475	23	21.749454308365	0.620049210235187	0.535417140696469	101.106	0.690193
RASD2	22	35936878	35950046	322	rs9622202	rs9622235	rs470110	0.0163816	28	26.4434358585335	0.914861062430082	0.548684157694551	82.9966	0.955732
MB	22	36002811	36033998	388	rs8141397	rs112441180	rs5999923	0.000734506	24	34.9557156864556	0.153879671335495	0.069060183949583	93.8557	0.700077
APOL6	22	36044493	36064451	370	rs140648873	rs138897585	rs5999923	0.000734506	20	27.5939561948227	0.200086842701287	0.119365095804294	104.136	0.433905
APOL5	22	36113919	36125530	266	rs5755848	rs112965607	rs117617596	0.0196797	19	18.455412859183	0.479749398537476	0.492235862152969	78.6705	0.467325
RBFOX2	22	36134783	36424872	604	rs79556356	rs9607306	rs556248984	0.00964028	26	35.3928885594021	0.132066812280443	0.103412007803404	197.566	0.18038
APOL3	22	36536377	36562225	422	rs141173307	rs149602693	rs150829854	0.00121704	28	23.9566502470444	0.528692474003073	0.683821775678056	162.957	0.359933
APOL4	22	36585172	36600886	449	rs11705238	rs13057901	rs150829854	0.00121704	26	27.3224087374551	0.358578065182274	0.39258130464514	154.915	0.327704
APOL2	22	36622255	36636000	436	rs80585	rs116819785	rs147876617	0.00458083	28	36.3540563696678	0.0676321366557056	0.133801860304666	209.157	0.0449535
APOL1	22	36649117	36663576	421	rs9607321	rs1557538	rs5756149	7.22262e-05	25	36.7606337474619	0.00150213510485564	0.0608248221677041	302.463	0.000760346
MYH9	22	36677326	36784055	632	rs140000575	rs28886373	rs5756149	7.22262e-05	31	57.5587161120301	0.000952665614912362	0.0025892721003107	484.112	0.000583714
TXN2	22	36863093	36877687	457	rs75614414	rs6000308	rs5756219	0.00236943	16	22.6833729642028	0.0688245598695688	0.122464401243496	221.95	0.0476116
FOXRED2	22	36883237	36903268	444	rs28634601	rs140870537	rs5756219	0.00236943	18	24.9906391419488	0.0391521358198483	0.12517426251909	226.635	0.0230797
EIF3D	22	36906902	36925231	434	rs139982	rs145245420	rs5756219	0.00236943	24	37.2588329193229	0.0351383509251515	0.041225469209457	230.306	0.0306127
CACNG2	22	36956904	37099797	712	rs728785	rs116994681	rs9622465	0.00475734	38	55.701463253331	0.0482243200169151	0.0318499138178774	330.404	0.0981581
IFT27	22	37154246	37172300	307	rs5750285	rs17810645	rs9622465	0.00475734	20	19.3720865248121	0.366226295522857	0.497771623368372	115.664	0.269079
PVALB	22	37196728	37215523	282	rs2592959	rs2284029	rs8142622	0.0136775	27	26.5112156562893	0.74038019089981	0.490388995397222	75.7372	0.846667
NCF4	22	37257030	37274059	363	rs113467514	rs909486	rs9607388	0.0155364	28	23.939392209939	0.719453355279727	0.684730745662229	111.547	0.748898
CSF2RB	22	37309670	37336481	503	rs34377419	rs75463035	rs141332300	0.00623961	36	27.8588756513575	0.859681664406456	0.832192300552262	135.962	0.879814
TEX33	22	37387161	37403892	469	rs131843	rs710185	rs141332300	0.00623961	28	25.114286519567	0.688552353111071	0.621607888280369	130.306	0.74086
TST	22	37406900	37416224	394	rs4820265	rs148550682	rs141332300	0.00623961	22	20.044433816065	0.606464806417162	0.580260214875972	114.963	0.631254
MPST	22	37415676	37425862	372	rs112845603	rs855786	rs9622529	0.00711372	21	20.5909856839544	0.584171449295664	0.48415286865058	109.989	0.669994
KCTD17	22	37447779	37459430	342	rs743749	rs11089824	rs9622529	0.00711372	23	21.638420214643	0.551164496558923	0.542160168374166	115.066	0.560087
TMPRSS6	22	37461476	37505753	395	rs6000534	rs9622555	rs228910	0.0267176	37	30.9072755931365	0.763257934980376	0.749415954273348	133.778	0.775905
IL2RB	22	37521883	37571094	497	rs855789	rs5995401	rs150943326	0.0154729	39	25.717821270634	0.949052156570038	0.949651975684032	112.035	0.948438
C1QTNF6	22	37576206	37595425	411	rs228947	rs739043	rs150943326	0.0154729	34	21.3850557902755	0.996076052578558	0.954579526876581	76.5234	0.99795
SSTR3	22	37600277	37608517	369	rs2016771	rs55764018	rs150943326	0.0154729	24	12.9355016351592	0.980827752830784	0.967171524288374	75.8855	0.986465
RAC2	22	37621310	37640488	438	rs2543529	rs139346627	rs150943326	0.0154729	27	15.4083926483414	0.955061335834132	0.963305869852286	98.3609	0.942091
CYTH4	22	37678068	37711382	429	rs2285110	rs4820284	rs56272035	0.00457904	37	38.1002040180756	0.410148960845385	0.419154274572147	187.074	0.401289
ELFN2	22	37764000	37823514	442	rs56352850	rs75110580	rs149206673	0.0208675	31	27.531077502331	0.608479731284926	0.645256042994249	184.047	0.568438
MFNG	22	37865101	37882431	273	rs192089481	rs111607065	rs6000745	0.0393472	20	14.1911784331432	0.868630790050479	0.820671912642057	67.8701	0.897091
CARD10	22	37886400	37915549	293	rs12167192	rs12484334	rs6000745	0.0393472	23	18.9174947250677	0.886529411185662	0.706002876377241	66.1834	0.932077
CDC42EP1	22	37956487	37965412	337	rs9610776	rs4456799	rs2294973	0.0334308	20	17.1916492209466	0.629971566285375	0.640496277997029	86.7988	0.619137
LGALS2	22	37966255	37978623	304	rs7285355	rs55740624	rs2294973	0.0334308	20	18.7799243752333	0.539317261061029	0.536169813665021	83.4025	0.542457
GGA1	22	38004732	38029571	347	rs7284657	rs5756763	rs2294973	0.0334308	18	14.3145087451711	0.60608382617366	0.708370686249076	98.6919	0.476126
SH3BP1	22	38030661	38052124	306	rs5995472	rs60411156	rs2294973	0.0334308	14	9.21847139624315	0.712216245965258	0.816805736222818	80.3497	0.510324
PDXP	22	38054730	38062939	255	rs13053965	rs4820300	rs2294973	0.0334308	16	11.2498090219151	0.725244898913094	0.793809676845171	68.6869	0.618164
LGALS1	22	38071643	38075809	266	rs6000847	rs2413482	rs6000851	0.0351964	16	11.9738487991302	0.712360378796687	0.745777999494842	67.3327	0.672356
NOL12	22	38077680	38089483	285	rs117316616	rs147489423	rs6000851	0.0351964	16	11.6351811120386	0.726584835939486	0.768688581954325	68.2196	0.672151
TRIOBP	22	38093055	38172563	401	rs78338419	rs2284058	rs2284057	0.0152879	18	13.3711580253324	0.713825101727884	0.769068831469305	93.2733	0.63792
GCAT	22	38203912	38213183	179	rs73411515	rs16998570	rs2284057	0.0152879	13	6.57812061128887	0.876024364838799	0.922565501855336	42.6706	0.72303
GALR3	22	38219389	38221492	155	rs1129448	rs142595067	rs2284057	0.0152879	13	7.55206145048019	0.808710554218784	0.871509969481975	40.3978	0.666379
ANKRD54	22	38226862	38245334	172	rs5750495	rs2010472	rs2284057	0.0152879	14	7.91274705272607	0.829628546016322	0.893821955326253	44.3595	0.644246
EIF3L	22	38244875	38285414	201	rs8140423	rs7511239	rs2284057	0.0152879	17	15.2125486410399	0.503047811850907	0.58017511248471	67.1236	0.425568
MICALL1	22	38301664	38338829	160	rs2157472	rs13053900	rs12170378	0.0154138	19	20.9977920860275	0.304386898734183	0.33692291371448	69.7034	0.275942
C22orf23	22	38339057	38349676	128	rs139853	rs139897	rs12170378	0.0154138	19	20.7010798417724	0.305607374354786	0.353550303452528	64.6166	0.26597
POLR2F	22	38348614	38437922	235	rs142911007	rs6000994	rs12170378	0.0154138	21	17.1577520830754	0.518233218940145	0.701500189936085	61.7295	0.323551
SOX10	22	38366693	38383429	111	rs12169424	rs4821729	rs12170378	0.0154138	18	18.6132391537572	0.407378807155664	0.415994015381256	48.6569	0.398901
PICK1	22	38452318	38471708	189	rs139900	rs11570719	rs62235119	0.0400688	14	13.6943600969835	0.506414755305483	0.472720880097162	57.5534	0.539966
SLC16A8	22	38474141	38480191	188	rs12628144	rs2076118	rs41307233	0.0678751	14	13.4796520746805	0.540108851299504	0.48915109609172	57.0716	0.589096
BAIAP2L2	22	38480659	38507022	267	rs6519095	rs9610908	rs9610908	0.00341821	14	22.9959206994001	0.114079679337797	0.060336133139117	82.3983	0.459724
PLA2G6	22	38507502	38610785	539	rs56111993	rs7290882	rs7285556	0.00317035	22	17.100529795637	0.653990381570224	0.757788964041325	119.363	0.50021
MAFF	22	38596774	38612514	358	rs5756933	rs12485196	rs7285556	0.00317035	16	14.6929958706871	0.48831444530739	0.547228359895907	91.6303	0.430182
TMEM184B	22	38615298	38669016	385	rs2267369	rs9607531	rs7285556	0.00317035	28	33.4694701329346	0.331054740898128	0.218887628880369	122.56	0.513857
CSNK1E	22	38686697	38714089	237	rs2092076	rs4821785	rs7285556	0.00317035	33	29.7475533000348	0.567970315762778	0.629846006807616	102.068	0.500483
KCNJ4	22	38822332	38851205	268	rs195301	rs1837988	rs1043402	0.00903045	25	25.057961180848	0.452544205243812	0.459129073154818	114.283	0.446
KDELR3	22	38864083	38879452	222	rs196120	rs62228906	rs1043402	0.00903045	23	22.1108532041603	0.430920081222473	0.51356818667221	103.488	0.35661
DDX17	22	38879443	38903665	215	rs116665922	rs5757135	rs4820336	0.00530083	22	18.5772886944606	0.311775049644493	0.671265141332867	106.836	0.151515
DMC1	22	38914953	38966209	226	rs9610964	rs4821797	rs4820336	0.00530083	15	18.6050604640139	0.0387393617890681	0.232191536416039	113.031	0.0208654
FAM227A	22	38974123	39052634	366	rs144252815	rs62228764	rs13054492	0.00233608	10	14.1438155546091	0.035586382964113	0.166532233266187	128.245	0.0197686
CBY1	22	39052641	39069859	282	rs58566154	rs74867304	rs13054492	0.00233608	7	9.46110875066669	0.0293239465889035	0.221222654670137	115.548	0.0155536
TOMM22	22	39077962	39081426	261	rs16999166	rs9835	rs5995603	0.00558599	7	10.2414515541734	0.0521498524770019	0.175298543726796	113.605	0.0303111
JOSD1	22	39081548	39097561	281	rs9610989	rs35496634	rs5995603	0.00558599	8	11.703071503665	0.0458487358095878	0.164951878475857	116.921	0.0263875
GTPBP1	22	39101747	39134304	292	rs6001184	rs7290947	rs6001186	0.00605396	15	20.3402755585829	0.136763436028919	0.159264237779512	118.67	0.119563
SUN2	22	39129295	39190148	323	rs3827357	rs9607580	rs4821815	0.0118552	21	26.6933951205637	0.242013327505918	0.181233679077206	90.882	0.342237
DNAL4	22	39174513	39190203	239	rs2235229	rs9607580	rs17032	0.0172423	20	25.1632026913392	0.330495522010151	0.195258565802673	80.4358	0.575519
NPTXR	22	39214457	39240033	302	rs8135021	rs2413548	rs11705574	0.00685487	21	23.5082198484901	0.416605090308287	0.317491057401073	94.5996	0.534691
CBX6	22	39257427	39268254	304	rs73159314	rs5750702	rs11705574	0.00685487	19	23.7925746961671	0.262357612196851	0.20422961976263	96.7173	0.349418
APOBEC3A	22	39348746	39388783	271	rs7286632	rs2413565	rs78554731	0.00603053	25	16.1931833811574	0.829152755086691	0.908954150870406	69.4947	0.487618
APOBEC3B	22	39378352	39388809	205	rs5750706	rs2413565	rs78554731	0.00603053	22	17.7308439135472	0.639551703074289	0.721821951419636	74.0754	0.531956
APOBEC3C	22	39410262	39416357	156	rs9607599	rs9607606	rs78554731	0.00603053	19	13.4020223723976	0.733347980811584	0.817369470887068	51.2198	0.579069
APOBEC3D	22	39417118	39429282	184	rs9607599	rs17496025	rs78554731	0.00603053	21	13.4701364367652	0.837973900688913	0.891266527682299	59.482	0.709086
APOBEC3F	22	39436609	39451977	310	rs9607599	rs139324	rs78554731	0.00603053	21	16.8673451598952	0.771878794621778	0.719115554288351	67.8249	0.810168
APOBEC3G	22	39473072	39483748	331	rs5757428	rs714013	rs143508949	0.00302373	19	13.3111409251712	0.837076877711741	0.822268819328849	68.2746	0.849782
APOBEC3H	22	39493229	39500072	341	rs5750730	rs139405	rs143508949	0.00302373	18	8.77652736501327	0.942646345009972	0.964696738656646	64.189	0.852421
CBX7	22	39516172	39548685	506	rs9607606	rs55832739	rs143508949	0.00302373	21	18.1101797143274	0.554861743951858	0.642021459810531	131.799	0.458793
PDGFB	22	39619364	39640987	432	rs17000815	rs17304621	rs4473495	0.00545058	25	27.0349691988339	0.309625283110419	0.354139789045861	174.695	0.272203
RPL3	22	39708887	39716394	383	rs9611130	rs7286714	rs80132412	0.0137347	14	13.9393700736979	0.581978009745559	0.454237779519314	82.2669	0.68824
SYNGR1	22	39745930	39781580	378	rs35543144	rs5750825	rs62228374	0.0148477	17	15.9140115021734	0.604742409016508	0.529938767271745	86.9078	0.669342
TAB1	22	39795783	39833065	254	rs3747177	rs17001167	rs4821900	0.00112313	24	25.2568649744743	0.275905644204867	0.391911553922036	116.162	0.203493
MGAT3	22	39853017	39888199	195	rs35748716	rs5757709	rs4821900	0.00112313	25	20.284262393632	0.455103372040202	0.731759556300696	116.425	0.224381
MIEF1	22	39895437	39914137	192	rs5757681	rs116867091	rs4821900	0.00112313	22	21.3031431901701	0.289841750016405	0.502076914218315	109.711	0.181498
ATF4	22	39915700	39918688	189	rs2267412	rs116516050	rs4821900	0.00112313	20	19.0848098249455	0.299207319547514	0.516319587234442	105.752	0.185996
RPS19BP1	22	39925098	39928766	188	rs760713	rs132572	rs4821904	0.0341004	20	16.9353228368145	0.640993965584706	0.657169341560649	65.979	0.624
CACNA1I	22	39966758	40085740	404	rs117186267	rs5750876	rs75701188	0.000706261	32	36.7568988023357	0.220440734043934	0.257865433313845	197.364	0.191258
ENTHD1	22	40139049	40289868	289	rs5757775	rs137989	rs2205969	0.0023927	20	33.7659083665422	0.0212580155956652	0.0277525241231134	190.9	0.0172243
GRAP2	22	40297088	40369725	189	rs11703179	rs743840	rs737815	0.00175768	27	41.0058947480361	0.0295459124582567	0.041132181494891	171.139	0.0230435
FAM83F	22	40390958	40439538	149	rs17001545	rs117790180	rs737815	0.00175768	22	26.988399302679	0.0652188485765666	0.211667417140818	102.07	0.0379449
TNRC6B	22	40440821	40731812	560	rs3021222	rs742140	rs737815	0.00175768	26	30.3400956455345	0.0180883207601656	0.253761415486654	314.154	0.00930995
ADSL	22	40742465	40786467	209	rs13057224	rs35592496	rs4821943	0.0155096	22	24.4298309019889	0.15271429742795	0.325108637308389	90.4249	0.095527
SGSM3	22	40766595	40806293	207	rs4821942	rs117262463	rs77521957	0.00589247	23	24.7895504228745	0.177959911670923	0.361226739842662	104.339	0.111738
MCHR1	22	41075277	41078816	274	rs6001984	rs8135390	rs62236982	0.0199198	11	7.39382696696039	0.720744598984189	0.766353025572937	51.1505	0.661042
SLC25A17	22	41165634	41215403	290	rs12158613	rs531420711	rs138351	0.00565412	14	28.5216804630761	0.0215050443392655	0.0121213306875162	98.2878	0.0933746
ST13	22	41220539	41252643	133	rs117235525	rs117740374	rs138351	0.00565412	18	35.0554082561431	0.016393509461393	0.0093017727119137	85.6817	0.0683003
XPNPEP3	22	41253081	41328819	154	rs12628488	rs113784934	rs138351	0.00565412	19	31.2141667913405	0.0380130096886153	0.0382403949097986	101.841	0.0377883
DNAJB7	22	41255553	41258117	102	rs9611419	rs150252329	rs138351	0.00565412	17	31.0790858540057	0.0285887441179331	0.0195343826106039	76.7512	0.0531433
RBX1	22	41347351	41369313	139	rs5758124	rs9611460	rs5751023	0.00167578	18	32.8437664019318	0.0129233820455628	0.017431681969427	119.858	0.0102672
EP300	22	41488596	41576081	363	rs4821990	rs139478	rs5751039	0.00286456	17	26.2558925875753	0.0424311287590031	0.0699229176771286	126.822	0.0304089
L3MBTL2	22	41601286	41627275	256	rs66776572	rs139533	rs117018441	0.00626699	17	20.5628249570724	0.0682980339665678	0.246457683277656	104.21	0.0388376
CHADL	22	41625514	41636935	226	rs113354489	rs112659552	rs2281336	0.00972697	14	15.5901029494758	0.099496647085753	0.339041418572128	99.9922	0.0559063
RANGAP1	22	41640783	41682191	261	rs2092563	rs141269652	rs2281336	0.00972697	15	18.5953505449246	0.056265855734722	0.232659529955342	121.017	0.0314721
ZC3H7B	22	41697529	41756151	248	rs139502	rs132915	rs7289932	0.0110063	17	22.8377578500987	0.0630183855779924	0.154607432988214	133.47	0.0392172
TEF	22	41763337	41795330	216	rs4552281	rs202657	rs132906	0.0151079	13	20.5109917534856	0.0708890588068178	0.0831808695982497	86.4761	0.0617223
TOB2	22	41829498	41842805	177	rs767593	rs142752746	rs202637	0.00964874	10	16.0656398099592	0.0394837712543052	0.0977687398845787	80.2084	0.0246486
ACO2	22	41843834	41925277	274	rs132901	rs147762501	rs147762501	0.00137717	16	19.5606196277416	0.0762130732340981	0.2406650357096	102.071	0.0443392
PHF5A	22	41855721	41864696	154	rs132914	rs203319	rs137830	0.00937993	12	16.9623491342745	0.0643297243033546	0.151019107746617	67.9854	0.040516
POLR3H	22	41921803	41940610	156	rs144903287	rs11912476	rs147762501	0.00137717	18	23.0789170202082	0.0746677427280161	0.187575705526803	92.5682	0.0459888
CSDC2	22	41957014	41973745	158	rs113912518	rs28741110	rs546314111	0.000854737	16	26.8759356552846	0.0367136144985863	0.0428828636739423	89.1427	0.0320909
PMM1	22	41972904	41985875	143	rs62236521	rs116962367	rs546314111	0.000854737	15	25.9775449512045	0.0269412218689418	0.0382593629655044	88.2136	0.0207834
DESI1	22	41994032	42017047	144	rs56904812	rs132800	rs546314111	0.000854737	16	33.0895913900263	0.00903249174421505	0.00719078354966794	106.92	0.0121418
XRCC6	22	42017167	42060052	160	rs6002408	rs5758431	rs546314111	0.000854737	14	31.709720020005	0.00592829705382714	0.0044044020867718	103.54	0.00906415
MEI1	22	42095507	42195460	398	rs132781	rs77463446	rs140810110	0.00196219	15	31.4604118106597	0.00865435325525798	0.00761867658299072	178.939	0.0100158
CCDC134	22	42196683	42228168	288	rs7291082	rs73163396	rs140810110	0.00196219	15	30.9139581062198	0.0100287316169945	0.00902069180934581	166.798	0.0112903
SREBF2	22	42229083	42303311	422	rs8141783	rs4822071	rs140810110	0.00196219	20	37.7115376183581	0.00893322733688917	0.00960208964277288	274.157	0.00835146
SHISA8	22	42305547	42311078	263	rs74823524	rs4822072	rs150105096	0.00323969	15	27.8007261449818	0.0243415232036949	0.0228502281953654	140.899	0.0260406
TNFRSF13C	22	42318036	42322810	257	rs4820447	rs13053833	rs148437973	0.00412719	16	29.341103456478	0.0329518609463029	0.0217349766319206	134.083	0.0677329
CENPM	22	42334741	42343156	270	rs6002522	rs1062753	c("rs744012", "rs76756093", "rs79784624")	0.0125338	16	20.9743591288517	0.184665499684145	0.179498292833227	113.233	0.190102
WBP2NL	22	42394729	42454460	338	rs8141722	rs79801871	rs181281616	0.0203453	18	16.0991367882512	0.692317507962841	0.585628614271979	63.777	0.76585
NAGA	22	42454338	42466846	212	rs133321	rs111988926	rs28552546	0.0364113	14	10.9205965665199	0.718339283333781	0.692262237863745	41.2959	0.741338
SMDT1	22	42475695	42480288	179	rs133348	rs28842514	rs28552546	0.0364113	14	9.52484210849696	0.713250620944285	0.796033129816636	42.7333	0.576004
NDUFA6	22	42481530	42486888	182	rs5751204	rs2743456	rs28552546	0.0364113	14	9.82468289240812	0.684457168920004	0.774885517145235	45.752	0.543926
CYP2D6	22	42522501	42526867	200	rs133383	rs56070086	rs59390354	0.0678515	16	11.3042887343036	0.811024022638189	0.790325097800315	42.2677	0.828382
TCF20	22	42556019	42739622	648	rs5996113	rs8139546	rs13055337	0.0199446	32	24.2609236428546	0.93708168837031	0.834818515834353	84.4206	0.961536
NFAM1	22	42776413	42828409	407	rs4822111	rs12159371	rs13055337	0.0199446	23	11.7945835501704	0.950528848655657	0.973518998206988	126.744	0.709299
RRP7A	22	42904350	42915802	168	rs112564946	rs137043	rs11912326	0.0348511	24	19.0141301097618	0.762953515827502	0.75123562279664	56.816	0.773805
SERHL2	22	42949623	42970388	166	rs4822141	rs137129	rs61744232	0.0367513	16	15.445031169867	0.512101370772347	0.492316753695312	60.1008	0.531793
POLDIP3	22	42979727	43010968	259	rs55932229	rs34660329	rs8190435	0.00814097	14	10.512124134211	0.675133777547476	0.723865299471256	69.8186	0.615266
CYB5R3	22	43011736	43116876	710	rs77221604	rs36076326	rs5758884	0.000821941	25	25.6937614575145	0.567592370847692	0.42408228313319	83.4875	0.688849
A4GALT	22	43088127	43117304	562	rs5758830	rs13056373	rs5758884	0.000821941	21	20.9857430549224	0.169839437977056	0.459815199091695	255.343	0.0947737
ARFGAP3	22	43192508	43254112	592	rs77247463	rs9623713	rs1969673	0.00805277	17	20.1718663855277	0.287312537636568	0.265533144301369	154.69	0.311724
PACSIN2	22	43231418	43411155	839	rs7286822	rs8137710	rs6003003	0.00382101	18	22.2183960796946	0.214053303369522	0.222433244165511	173.358	0.206193
TTLL1	22	43435522	43485425	486	rs144729827	rs6003071	rs6003003	0.00382101	26	35.2424949846553	0.100060941950054	0.106504277494018	257.007	0.094331
BIK	22	43506756	43525718	379	rs5759128	rs4822261	rs13056252	0.00559928	33	52.7263990812499	0.0287233653153864	0.0160465784030561	232.767	0.131371
MCAT	22	43528215	43539404	366	rs5759149	rs138970	rs7286595	0.0133838	33	43.1818579966892	0.141961883494633	0.110510361201132	203.068	0.195364
TSPO	22	43547553	43559248	448	rs135014	rs35738631	rs55642192	0.0199853	28	28.1919602958608	0.386677414910367	0.454310529425052	182.269	0.32817
TTLL12	22	43562628	43583140	492	rs12019222	rs10427744	rs56221413	0.0109595	29	35.8978062685791	0.243681906930832	0.176560505904921	192.695	0.360936
SCUBE1	22	43593286	43739378	934	rs138903	rs2015869	rs715001	0.00124793	53	60.131778442765	0.18940160896997	0.233313989620993	473.641	0.158165
MPPED1	22	43807202	43903728	632	rs695288	rs137162	rs147518334	0.0112399	34	49.0228833121213	0.0863998721873499	0.0459939708877788	285.7	0.403157
EFCAB6	22	43924624	44208217	1134	rs73167993	rs2269601	rs5764314	0.00213425	23	39.9410542778613	0.0293498100626826	0.015604513360274	330.249	0.215147
SULT4A1	22	44220389	44258393	478	rs9614182	rs4823168	rs5764314	0.00213425	20	22.3523190815992	0.297410642613611	0.321702878875924	162.434	0.275577
PNPLA5	22	44275558	44287893	401	rs62226117	rs9625964	rs138120	0.0110725	21	16.686021842128	0.605588573060394	0.729954377958052	123.737	0.439473
PNPLA3	22	44319672	44360368	495	rs11703607	rs9625971	rs16991199	0.0146116	28	19.4100868804014	0.822281352910046	0.885006671337986	127.051	0.661377
SAMM50	22	44351322	44406411	453	rs6006574	rs2267602	rs16991199	0.0146116	32	19.4023398602267	0.943681784571202	0.960875541526092	114.514	0.900402
PARVB	22	44395091	44568819	957	rs13054885	rs139244	rs11703469	0.00169545	67	63.2819428577714	0.535587419834712	0.606200783205409	410.288	0.461339
PARVG	22	44568836	44615413	602	rs5764546	rs2743846	rs77286890	0.00138509	33	48.2605988897534	0.0660728334879375	0.0420162654476829	268.03	0.149875
PRR5	22	45064427	45133561	747	rs73430430	rs5766013	rs9614882	0.000915521	57	80.8195952607259	0.0349856551176206	0.0206898489705121	405.78	0.110643
PRR5-ARHGAP8	22	45098113	45258586	1280	rs9626227	rs62232243	rs9614882	0.000915521	72	85.7689378968917	0.187075571911014	0.127928355280853	576.736	0.316733
ARHGAP8	22	45148438	45258668	1053	rs59812944	rs62232243	rs132410	0.00252812	61	68.9449957982163	0.260839457474762	0.226618158299357	478.174	0.30361
PHF21B	22	45277042	45405886	979	rs12483795	rs12484773	rs114011252	0.0040848	48	57.9022696320115	0.170383113287119	0.154937205663563	473.376	0.188848
NUP50	22	45559806	45583898	408	rs73167227	rs738180	rs73167227	0.094277	20	7.71925211541891	0.992846334124104	0.993568191476732	58.551	0.991942
KIAA0930	22	45588125	45636775	568	rs73439600	rs3788644	rs2742621	0.0103555	26	22.1078398903741	0.662181182526695	0.682781996639389	143.623	0.639977
UPK3A	22	45680830	45691755	414	rs2294197	rs9614647	rs9615100	0.000839482	23	27.0937803510823	0.0141884968698337	0.251997373923635	252.207	0.00725756
FAM118A	22	45704849	45737836	421	rs6007543	rs6007018	rs9615100	0.000839482	19	22.3619345378428	0.00745346377806111	0.266615320205419	260.255	0.00376697
SMC1B	22	45739944	45809500	439	rs2013686	rs77997643	rs9615100	0.000839482	16	16.0768249267034	0.0262648906393036	0.447611942367307	247.876	0.0132457
RIBC2	22	45809574	45828389	296	rs5765291	rs5765391	rs9614653	0.00318135	19	19.397488651467	0.153737844405652	0.431616718819434	131.483	0.0863447
FBLN1	22	45898118	45997015	661	rs77469532	rs5765566	rs136729	0.000544618	52	56.3245485984612	0.286157306448426	0.316384815779435	278.508	0.259887
ATXN10	22	46067678	46241187	706	rs59268954	rs137981846	rs144993488	0.00487405	27	27.8424837356215	0.369626283108529	0.419128892635778	249.974	0.325976
WNT7B	22	46316246	46373042	537	rs136051	rs4072455	rs10453459	0.0057214	44	45.1022247104887	0.414183499657521	0.425623715506988	278.04	0.402966
PPARA	22	46546424	46639652	450	rs117507958	rs9615938	rs150652065	0.00791245	27	26.1239539618915	0.54465597187559	0.511729418366278	135.395	0.576651
CDPF1	22	46639908	46646208	268	rs12330015	rs73177069	rs78515448	0.0259273	13	11.8081082212667	0.434679102698173	0.543438375856395	71.4155	0.339061
PKDREJ	22	46651560	46659240	287	rs73177036	rs77077813	rs113444899	0.00960459	11	11.1293749713743	0.343254291000261	0.432489206948711	72.2203	0.274335
TTC38	22	46663858	46689905	358	rs4253751	rs9615954	rs145158871	0.00406985	11	11.444067399243	0.199404131784219	0.406844700182019	104.189	0.122795
GTSE1	22	46692767	46726707	402	rs16995065	rs9615355	rs145158871	0.00406985	14	30.1993134164458	0.013776926772629	0.00716377000334068	139.777	0.164899
TRMU	22	46726772	46753237	379	rs73886789	rs76263387	rs145158871	0.00406985	13	28.8639332360163	0.0130302465189953	0.00684306187276872	138.42	0.129481
CELSR1	22	46756731	46933517	1033	rs9615944	rs9616068	rs2049936	5.05365e-05	56	84.843470531809	0.0129612597676184	0.00770778758913066	577.193	0.0405831
GRAMD4	22	46971909	47075687	824	rs4823559	rs34301321	rs738231	1.6198e-05	34	59.4031975400007	0.000948605344402775	0.00448897483750964	855.786	0.000530335
CERK	22	47080307	47134149	544	rs138474	rs2337122	rs801713	8.23224e-05	31	45.0802795811671	0.0169888562231969	0.0490360456305595	389.898	0.0102654
TBC1D22A	22	47158514	47571342	1732	rs6008957	rs2103860	rs35119670	0.00206166	58	35.7178379537931	0.983536686439844	0.990651946562849	354.756	0.931767
BRD1	22	50166931	50221521	418	rs6009845	rs4824109	rs73437718	0.00104108	19	19.2857403246313	0.335099089339946	0.438648230207989	158.984	0.259034
ZBED4	22	50247492	50283728	434	rs149928719	rs4073388	rs74510325	0.00614106	7	5.96419877697338	0.372031552201627	0.543935867685548	95.7364	0.251716
ALG12	22	50293877	50312086	396	rs1569954	rs117560100	rs74510325	0.00614106	10	12.1580982777266	0.241731853325747	0.274614944575249	109.907	0.214712
CRELD2	22	50311815	50321188	345	rs5770731	rs76502866	rs74510325	0.00614106	12	12.0663097584	0.311718451431112	0.440369021731383	107.101	0.227293
